year;day;date_from_to;weeknr;time_from;time_to;event_naam;location;openbareruimtenaam;rdx;rdy;lon;lat
2011;donderdag;28-04-2011;17;20:30;23:00;Las Nueve Open Air Tango;Korte Minrebroederstraat;Korte Minrebroederstraat;136709;456003;5.120304;52.091983
2011;vrijdag;29-04-2011 t/m 30-04-2011;17;18:00 12:30;01:00 18:00;Koninginnedag Domplein;Domplein;Domplein;136760;455888;5.121057;52.090953
2011;vrijdag;29-04-2011;17;20:00;01:00;Evenementenplein Vredenburg;Vredenburg;Vredenburg;136182;456134;5.112608;52.093141
2011;vrijdag;29-04-2011;17;18:00;01:00;KoninginneNACH;Mariaplaats;Mariaplaats;136563;455768;5.118189;52.089861
2011;vrijdag;29-04-2011;17;18:00;00:00;Koninginnendag cafe Marktzicht/Stadsgenoot;Breedstraat;Breedstraat;136605;456333;5.118764;52.094943
2011;zaterdag;30-04-2011;17;06:00;20:00;Koninginnedag Vleuten;Dorpsplein;Dorpsplein;129239;457734;5.011177;52.107242
2011;zaterdag;30-04-2011;17;08:00;20:00;Koninginnedag de Meern;Castellumlaan;Castellumlaan;131029;455093;5.037487;52.083582
2011;vrijdag;29-04-2011 t/m 30-04-2011;17;18:00 12:00;1:00 18:00;Koninginnedag WWG;Asch van Wijcksstraat ;;;;;
2011;vrijdag;29-04-2011 t/m 30-04-2011;17;18:00 12:00;1:00 18:00;Koninginnedag Jacobi Theater;Jacobskerkhof;Jacobskerkhof;136429;456319;5.116200;52.094809
2011;vrijdag;29-04-2011 t/m 30-04-2011;17;18:00 12:00 ;02:00 18:00;Koninginnedag Neude;Neude;Neude;136588;456080;5.118539;52.092668
2011;vrijdag;29-04-2011 t/m 30-04-2011;17;18:00 00:00;00:00 18:00;Koninginnedag cafe Tilt;Lucasbolwerk;Lucasbolwerk;137133;456096;5.126486;52.092829
2011;vrijdag;29-04-2011 t/m 30-04-2011;17;;;Koninginnedag Rozenstraat;Rozenstraat;Rozenstraat;136362;456258;5.115221;52.094262
2011;vrijdag;29-04-2011 t/m 30-04-2011;17;18:00 12:00;01:00 18:00;Koninginnedag Asch van Wijckskade hoek begijnekade;Asch van Wijckskade (parkeerterrein) hoek Begijnekade;;;;;
2011;vrijdag;29-04-2011 t/m 30-04-2011;17;18:00 11:00;00:00 15:00;Koninginnedag Wijde Begijnestraat;Wijde Begijnestraat;Wijde Begijnestraat;136826;456447;5.121979;52.095975
2011;vrijdag;29-04-2011 t/m 30-04-2011;17;21:30 14:00;01:00 18:00;Koninginnedag Het Wed;Het Wed ;;;;;
2011;vrijdag;29-04-2011 t/m 30-04-2011;17;20:00 10:00;01:00 18:00;Koninginnendag Royal Flush;Tolsteegbarriere;;;;;
2011;zaterdag;30-04-2011;17;09:00;17:00;Braderie Lombok;Kanaalstraat en Damstraat;;;;;
2011;zaterdag;30-04-2011;17;10:00;14:00;koninginnedag Tuindorp;Willem de Zwijgerplantsoen;Willem de Zwijgerplantsoen;137341;457715;5.129441;52.107385
2011;zaterdag;30-04-2011;17;13:00;19:00;Salsa koninginnedag;Mariaplaats;Mariaplaats;136563;455768;5.118189;52.089861
2011;zaterdag;30-04-2011;17;08:00;18:00;Kindervrijmarkt Twijnstraat;Twijnstraat;Twijnstraat;136907;455072;5.123243;52.083621
2011;zaterdag;30-04-2011;17;09:00;18:00;Koninginnedag Oog in Al;Händelstraat;Händelstraat;134309;455479;5.085317;52.087186
2011;zaterdag;30-04-2011;17;10:00;19:00;Koninginne Kinderen;Lepelenburg;Lepelenburg;137189;455715;5.127324;52.089409
2011;zaterdag;30-04-2011;17;10:00;17:00;Koninginnedag school Rijnsweerd;Jan Muschlaan;Jan Muschlaan;138904;455366;5.152367;52.086326
2011;zaterdag;30-04-2011;17;20:00;23:00;Koninginnendag Tolsteegplantosen;Tolsteegplantsoen;Tolsteegplantsoen;137078;454231;5.125776;52.076065
2011;zaterdag;30-04-2011;17;08:00;16:00;Koninginnedag Zuilen;Julianapark;;;;;
2011;zaterdag;30-04-2011;17;13:00;20:00;Parapluvergunning Molenerf de Ster-Koninginnedag;Molenerf de Ster;;;;;
2011;zaterdag;30-04-2011;17;10:00;18:00;Beat-rix;Janskerkhof;Janskerkhof;136746;456088;5.120832;52.092745
2011;zaterdag;30-04-2011;17;07:00;13:30;Kindervrijmarkt Ab harrewijnstraat;Ab Harrewijnstraat;Ab Harrewijnstraat;132400;455531;5.057464;52.087577
2011;zaterdag;30-04-2011;17;12:00;18:00;koninginnedag dikke dries-havana;Oudkerkhof;Oudkerkhof;136705;455952;5.120249;52.091519
2011;zaterdag;30-04-2011;17;09:00;13:00;Koninginnedag WKC Vleuterweide;WKC Vleuterweide;;;;;
2011;;30-04-2011;17;13:00;18:00;Koninginnedag 't Zand Leidsche Rijn;speeltuin Aldo van Eyckplantsoen ;;;;;
2011;zaterdag;30-04-2011;17;13:00;00:00;Koninginnedag Jansdam Mick O Connels;Jansdam;Jansdam;136857;456078;5.122457;52.092660
2011;zaterdag;30-04-2011;17;10:00;18:00;Koninginnedag Hemingway;Janskerkhof;Janskerkhof;136746;456088;5.120832;52.092745
2011;zondag;01-05-2011;17;08:00;18:00;Brocante markt;Mariaplaats;Mariaplaats;136563;455768;5.118189;52.089861
2011;zondag;01-05-2011;17;;;Parapluvergunning Belangenvereniging Hoog Catharijne;Hoog Catharijne;;;;;
2011;woensdag;04-05-2011;18;19:45;20:30;Dodenherdenking Vleuten;Bottensteinweg;Bottensteinweg;129375;457319;5.013191;52.103522
2011;donderdag;05-05-2011;18;10:00;17:00;Braderie Vredenburg;Vredenburg;Vredenburg;136182;456134;5.112608;52.093141
2011;donderdag;05-05-2011;18;19:00;22:30;Het bevrijdingsbal;Vorstelijk Complex;;;;;
2011;donderdag;05-05-2011;18;07:00;17:00;Lombok 5 mei;Abel Tasmanstraat 2 t/m 90;;;;;
2011;donderdag;05-05-2011;18;07:00;17:00;Lombok 5 mei;Laurensreaalstraat 25 t/m 66;;;;;
2011;donderdag;05-05-2011;18;07:00;17:00;Lombok 5 mei;Bankaplein ;;;;;
2011;donderdag;05-05-2011;18;07:00;17:00;Lombok 5 mei;Billitonkade 1 t/m 45;;;;;
2011;donderdag;05-05-2011;18;07:00;17:00;Lombok 5 mei;Bankastraat 1 t/m 39;;;;;
2011;donderdag;05-05-2011;18;07:00;17:00;Lombok 5 mei;Malakkastraat 1 t/m 57;;;;;
2011;donderdag;05-05-2011;18;07:00;17:00;Lombok 5 mei;Soendastraat 7 t/m 24;;;;;
2011;donderdag;05-05-2011;18;20:30;23:00;Las Nueve Open Air Tango;Korte Minrebroederstraat;Korte Minrebroederstraat;136709;456003;5.120304;52.091983
2011;vrijdag;06-05-2011 t/m 08-05-2011;18;21:00;23:45;Latin American Film festival ;Tolsteegbarriere;;;;;
2011;Elke vrijdag;06-05-2011 t/m 30-09-2011;18;20:00;22:15;Utrecht Skate Parade;Lucasbolwerk ;;;;;
2011;zaterdag;07-05-2011;18;09:00;17:00;Braderie Amsterdamsestraatweg;Amsterdamsestraatweg;Amsterdamsestraatweg;134864;457433;5.093292;52.104773
2011;zaterdag;07-05-2011;18;;;Parapluvergunning Moederdagaktie;WKC Kanaleneiland;;;;;
2011;zaterdag;07-05-2011;18;13:00;17:00;Manifestatie Nieuw Glas;Burchtpoort;Burchtpoort;129242;456221;5.011324;52.093644
